range,true_count,avg_predicted_count,average_MAE,average_RMSE,frame_count
0-80,61,60.160493827160494,0.84,0.93,81
81-99,62,60.94736842105263,1.05,1.17,19
100-114,63,61.333333333333336,1.67,1.88,15
115-140,65,63.42307692307692,1.58,1.77,26
141-203,66,64.61904761904762,1.51,1.86,63
