range,true_count,avg_predicted_count,average_MAE,average_RMSE,frame_count
0-80,61,55.51851851851852,5.48148148,5.61083608,81
81-99,62,57.31578947368421,4.68421053,4.71838509,19
100-114,63,57.6,5.4,5.43445796,15
115-140,65,55.53846153846154,9.46153846,9.75073962,26
141-203,66,56.095238095238095,9.9047619,10.08377606,63
