range,true_count,avg_predicted_count,average_MAE,average_RMSE,frame_count
0-80,61,60.5679012345679,0.58024691,0.79349205,81
81-99,62,60.73684210526316,1.26315789,1.33771211,19
100-114,63,62.06666666666667,0.93333333,1.15470054,15
115-140,65,63.65384615384615,1.34615385,1.60527975,26
141-203,66,64.88888888888889,1.26984127,1.59363815,63
