range,true_count,avg_predicted_count,average_MAE,average_RMSE,frame_count
0-80,61,60.75308641975309,0.32,0.61,81
81-99,62,61.421052631578945,0.58,0.76,19
100-114,63,62.666666666666664,0.73,1.06,15
115-140,65,63.92307692307692,1.31,1.54,26
141-203,66,65.31746031746032,1.29,1.69,63
