range,true_count,avg_predicted_count,average_MAE,average_RMSE,frame_count
0-80,61,60.04938271604938,1.96296296,2.45703827,81
81-99,62,61.1578947368421,1.47368421,1.97350876,19
100-114,63,62.666666666666664,1.0,1.39044357,15
115-140,65,61.0,4.0,4.28772846,26
141-203,66,60.3235294117647,5.67647059,5.91359351,34
