range,true_count,avg_predicted_count,average_MAE,average_RMSE,frame_count
0-80,61,60.75308641975309,0.32098765,0.60858062,81
81-99,62,61.421052631578945,0.57894737,0.76088591,19
100-114,63,62.666666666666664,0.73333333,1.06458129,15
115-140,65,63.92307692307692,1.30769231,1.54421999,26
141-203,66,65.31746031746032,1.28571429,1.68560667,63
