frame_id,class_name,count,total_objects
frame_12,coke_small,6,61
frame_12,kick_med,3,61
frame_12,coke_v_med,3,61
frame_12,pepsi_big,2,61
frame_12,dew_med,6,61
frame_12,7up_med,2,61
frame_12,a&w_small,6,61
frame_12,fanta_straw_big,1,61
frame_12,empty,1,61
frame_13,coke_z_big,4,62
frame_13,anw_med,6,62
frame_13,coke_v_big,5,62
frame_13,pepsi_med,8,62
frame_13,sprite_small,4,62
frame_13,coke_med,5,62
frame_13,coke_small,6,62
frame_13,kick_med,3,62
frame_13,coke_v_med,3,62
frame_13,pepsi_big,2,62
frame_13,dew_med,6,62
frame_13,7up_med,2,62
frame_13,a&w_small,6,62
frame_13,fanta_straw_big,1,62
frame_13,empty,1,62
frame_14,coke_z_big,4,62
frame_14,anw_med,6,62
frame_14,coke_v_big,5,62
frame_14,pepsi_med,7,62
frame_14,sprite_small,4,62
frame_14,coke_med,5,62
frame_14,coke_small,6,62
frame_14,kick_med,3,62
frame_14,coke_v_med,3,62
frame_14,pepsi_big,3,62
frame_14,dew_med,6,62
frame_14,7up_med,2,62
frame_14,a&w_small,6,62
frame_14,fanta_straw_big,1,62
frame_14,empty,1,62
frame_15,coke_z_big,4,62
frame_15,anw_med,6,62
frame_15,coke_v_big,5,62
frame_15,pepsi_med,7,62
frame_15,sprite_small,4,62
frame_15,coke_med,5,62
frame_15,coke_small,6,62
frame_15,kick_med,3,62
frame_15,coke_v_med,3,62
frame_15,pepsi_big,3,62
frame_15,dew_med,6,62
frame_15,7up_med,2,62
frame_15,a&w_small,6,62
frame_15,fanta_straw_big,1,62
frame_15,empty,1,62
frame_16,coke_z_big,4,64
frame_16,anw_med,6,64
frame_16,coke_v_big,5,64
frame_16,pepsi_med,7,64
frame_16,sprite_small,4,64
frame_16,coke_med,5,64
frame_16,coke_small,6,64
frame_16,kick_med,4,64
frame_16,coke_v_med,3,64
frame_16,pepsi_big,3,64
frame_16,dew_med,6,64
frame_16,7up_med,2,64
frame_16,a&w_small,7,64
frame_16,fanta_straw_big,1,64
frame_16,empty,1,64
frame_17,coke_z_big,4,63
frame_17,anw_med,6,63
