range,true_count,avg_predicted_count,average_MAE,average_RMSE,frame_count
0-80,61,63.592592592592595,2.64197531,3.0429031,81
81-99,62,65.6842105263158,3.68421053,3.76968517,19
100-114,63,66.46666666666667,3.46666667,3.52136337,15
115-140,65,67.1923076923077,2.19230769,2.51915737,26
141-203,66,,,,0
