range,true_count,avg_predicted_count,average_MAE,average_RMSE,frame_count
0-80,61,60.5679012345679,0.58,0.79,81
81-99,62,60.73684210526316,1.26,1.34,19
100-114,63,62.06666666666667,0.93,1.15,15
115-140,65,63.65384615384615,1.35,1.61,26
141-203,66,64.88888888888889,1.27,1.59,63
