range,true_count,avg_predicted_count,average_MAE,average_RMSE,frame_count
0-80,61,60.160493827160494,0.83950617,0.92962225,81
81-99,62,60.94736842105263,1.05263158,1.1697953,19
100-114,63,61.333333333333336,1.66666667,1.87971629,15
115-140,65,63.42307692307692,1.57692308,1.76504522,26
141-203,66,64.61904761904762,1.50793651,1.86445447,63
