class_name,count
a&w_small,7
kick_med,7
coke_small,6
anw_med,6
pepsi_med,6
coke_med,5
coke_v_big,5
sprite_small,4
coke_v_med,3
pepsi_big,3
fanta_grape_big,3
coke_z_big,2
fanta_straw_big,2
fanta_lychee_big,1
TOTAL,60
